author,rating,title,text,date,helpful,verified
Iristar,5,Gloss dior,"Il gloss migliore di sempre. perfetto per ogni occasione, lascia le labbra super morbide",2024-12-11T05:43:14.000+00:00,0,[]
Auroraaa2223,5,Gloss fantastico,È un bellissimo gloss che non appiccica e ha dei bei colori,2024-12-10T15:38:07.000+00:00,0,[]
Cla.Carl,5,Adatto tutti i giorni,"lip gloss da tenere sempre in borsa, da mettere sia da solo che sopra una tinta labbra",2024-12-09T10:43:48.000+00:00,0,[]
Anchi86,5,Stupenda,Stupendo lucidalabbra con effetto volumizzante,2024-12-09T06:25:14.000+00:00,0,[]
Alefelix,5,Ottimo,"Prodotto ottimo, da una sensazione come di balsamico sulle labbra.",2024-12-08T22:27:34.000+00:00,0,[]
mariaeresa,5,wow,mi piace molto la consistenza,2024-12-08T17:06:06.000+00:00,0,[]
Sabrigioy,5,Favoloso,Colore bellissimo e ricco,2024-12-06T16:12:49.000+00:00,0,[]
Emyyyy,5,Top,Prodotto idratante molto bello,2024-12-04T10:44:07.000+00:00,0,[]
Anchi86,5,Bellissimo,Colore bellissimo pizzica un po’ e aumenta il volume delle labbra,2024-11-28T11:22:53.000+00:00,0,[]
Elora,5,Lo amo,È davvero un gloss incredibile. Provare per credere,2024-11-27T23:02:52.000+00:00,0,[]
Sofi;,5,buono,ottimo anche per un regalo,2024-11-27T14:45:53.000+00:00,0,[]
Sofi;,5,carino,prodotto carino anche per un regalo,2024-11-27T14:45:29.000+00:00,0,[]
Marghe99,5,Regalo,"Preso scontato , ottimo 👌",2024-11-26T13:03:52.000+00:00,0,[]
Wowww,5,Ottimo,Prodotto buonissimo. Mi sono trovata veramente benissimo . Lo consiglio !,2024-11-24T20:54:11.000+00:00,0,[]
Beatrix06,5,Lucidalabbra Dior,Avevo sentito parlare bene di questo Lip Gloss e devo dire che dopo averlo provato avevano proprio ragione. Disponibile in tante colorazioni… le proverò tutte pian piano.,2024-11-22T08:30:51.000+00:00,0,[]
Beatrix06,5,Lucidalabbra Dior,Avevo sentito parlare bene di questo Lip Gloss e devo dire che dopo averlo provato avevano proprio ragione. Disponibile in tante colorazioni… le proverò tutte pian piano.,2024-11-22T08:25:58.000+00:00,0,[]
Beatrix06,5,Lucidalabbra Dior,Avevo sentito parlare bene di questo Lip Gloss e devo dire che dopo averlo provato avevano proprio ragione. Disponibile in tante colorazioni… le proverò tutte pian piano.,2024-11-22T08:25:25.000+00:00,0,[]
Antonia Mid,5,Ma quanto è bello!,"Questo gloss enfatizza e volumizza le labbra!
Sono di parte lo ammetto adoro Dior 
Perfetto per chi come me ha un colore naturale che tende al malva ed enfattizza la mucosa scura a tendenza fredda 
Particolarissimo a parer mio!
Al sapore di liquirizia non scherzo pizzica il giusto",2024-11-21T22:34:28.000+00:00,0,[]
Benny30,4,Recensione per lucidalabbra,"Lo uso da anni ormai, mi trovo benissimo, è molto idratante e non appiccicoso e volumizza bene le labbra.",2024-11-21T00:10:18.000+00:00,0,[]
elenix,4,BELLOOO,"Bello, ma costa tanto",2024-11-17T21:30:29.000+00:00,0,[]
clas,3,buono,bellissimo bello buono,2024-11-15T08:32:52.000+00:00,0,[]
sissi883,4,buono,consiglio questo prodotto molto buono,2024-11-14T09:41:51.000+00:00,0,[]
marijikaka,3,costa un po’,"fa il suo lavoro, lucido e non appiccica, ma costa troppo",2024-11-13T19:47:19.000+00:00,0,[]
Tintus,5,Ottimo lip rimpolpante,"Ho le labbra sottili e nonostante nessun prodotto può far miracoli questo gloss di Dior è favoloso! Risposta, lucida non appiccica assolutamente e da un aspetto sano e naturale alle labbra.
Il colore berry è bellissimo e rende le labbra più piene. Dura molto e anche quando va via non lascia residui 
Packaging Dior meraviglioso",2024-11-10T18:35:21.000+00:00,0,[]
Silvisilvi,5,Ottimo,"Bellissimo gloss, per un effetto plump ancora più visibile basta utilizzare una matita",2024-11-09T18:11:52.000+00:00,0,[]
morenanic,5,Dior n 1,"Inutile dire che già dal packaging ci si possa innamorare di questo gloss, lo consiglio a tutti per il profumo oltre che per il prodotto in se",2024-11-08T21:24:06.000+00:00,0,[]
Imane,5,Dior,Ottimooooooooooooooooooooooooo,2024-11-07T09:51:42.000+00:00,0,[]
martinnnn,5,stupendo,"i lip maximizer di dior sono una garanzia, li ho di tutti i colori , ieri ho acquistato la colorazione cherry ed è meravigliosa sulle labbra, oltre il colore sono dei gloss ottimi, confortevoli e molto idratanti , potrebbero durare un po’ di più, ma lasciano sulle labbra un bel colorito anche quando va via il gloss.",2024-11-06T21:19:53.000+00:00,0,[]
Disab,5,ottimo prodotto,"sono ossessionata dai prodotti di Dior. non rimpolpa molto e dovrebbe avere uno scovolino più ""cicciotto"" ma profumo, texture e colore sono MERAVIGLIOSI!! Non appiccica e mi rende le labbra morbidissime",2024-11-05T16:36:11.000+00:00,0,[]
Nikka,5,Effetto wow,"Effetto rimpolpante garantito. Sentirete una sensazione di fresco, è tutto normale.",2024-11-04T21:21:12.000+00:00,0,[]
cicciobello,4,wow,"l’ho avuto in regalo
bellissimo😍😍",2024-11-03T19:44:26.000+00:00,0,[]
Giuliaa000,5,Stupendo,Confortevole sulle labbra costa un pò tanto ma ne vale la pena,2024-10-29T15:12:11.000+00:00,0,[]
Checca,5,Ottimo,Lucidalabbra ottimo. Idrata e volumizzante le labbra in maniera naturale.,2024-10-24T15:32:26.000+00:00,0,[]
doro,5,bellissimo!,bellissimo e dura tanto,2024-10-14T17:40:36.000+00:00,0,[]
jdjeidifjfj,4,Colore naturale,"Non appiccia, odora di menta e non gonfia le labbra. È un semplice gloss",2024-10-13T10:04:02.000+00:00,0,[]
Iviv,5,Buono,Ottimo prodottt era bene,2024-10-12T09:52:07.000+00:00,0,[]
,4,BELLISSIMO,"Un gloss perfetto per ogni occasione! Colore semplice, ma bello; rimpolpante al punto giusto con un leggero effetto “freddo” sulle labbra e non appiccicoso. Unica pecca: non dura a lungo.",2024-10-10T09:14:03.000+00:00,0,[]
fraffa,5,perfetto,"adatto ad ogni occasione, colorazione nude",2024-10-07T22:30:44.000+00:00,0,[]
Susi23,5,Elegante gloss,Un gloss semplice ma elegante per un make up pulito,2024-10-02T04:25:03.000+00:00,0,[]
Claudia_V,3,Bel colore ma poca resa,Il colore da me scelto mi piace molto e mi sta anche bene perché dà un effetto naturale. L’effetto è fresco e rimpolpante tuttavia la resa e la durata dopo un po’ non rende. Si asciuga e secca fino a scomparire quasi completamente dopo poco tempo. L’effetto appena applicato invece è meraviglioso.,2024-09-25T15:48:24.000+00:00,0,[]
deny_pala,5,brillante,"questo gloss rende le labbra più idratate e le fa sembrare rimpolpate.
Perfetto quando si vuole fare un clean make-up",2024-09-25T10:06:53.000+00:00,0,[]
Anto1980,5,Brillante,Fantastico colore e idratazione eccellente,2024-09-22T19:00:12.000+00:00,0,[]
Roninha9,5,Una garanzia,"Ottimo profumo, colorazione delicatissima lo consiglio!!",2024-09-08T10:42:57.000+00:00,0,[]
campiso,5,dior,"molto buono, idratante e rimpolpa un po' le labbra, semplicemente fantastico",2024-09-07T11:25:01.000+00:00,0,[]
Eleonida,5,Buonissimo,Lucida idrata stupendo,2024-09-02T11:42:19.000+00:00,0,[]
Httpseri,5,Bello,"Bello, fa il suo effetto",2024-08-30T16:45:47.000+00:00,0,[]
Marytosae,5,Gloss,Bellissimo.. lo consiglio,2024-08-30T04:00:38.000+00:00,0,[]
mmmariasss,4,bello,bello bellissimo wow,2024-08-27T20:51:39.000+00:00,0,[]
user3566,4,😍😍,labbra super rimpolpate lo adoro!,2024-08-27T19:43:34.000+00:00,0,[]
Mommi,5,Meraviglioso,Prodotto ottimo lunga durata e labbra bellissime,2024-08-24T06:15:14.000+00:00,0,[]
Ale99.,4,Labbra,"Veramente bello, ma un po' caro",2024-08-20T12:50:31.000+00:00,0,[]
FedyM83,4,Bello ma parte 2,Confermo quanto detto per l' altro colore che possiedo. Questo ha un colore bellissimo e delicato. Oltre effetto plumping ha anche un leggero effetto denti più bianchi (ottico),2024-08-15T04:01:01.000+00:00,0,[]
FedyM83,4,Bello ma...,"Sono soddisfatta in tutto ma onestamente ho provato prodotti economici che gli stanno alla pari. Colore bellissimo, texture leggera, lieve pizzicore per effetto plumping moderato Lucido senza esagerare.",2024-08-15T03:57:57.000+00:00,0,[]
Azzu30,5,Una parola wow,Bellissimo ottimo prodotto effetto pazzesco,2024-08-13T13:08:24.000+00:00,0,[]
Alessandra O.,5,É semplicemente fantastico,"Un gloss di qualità superiore rispetto ai classici, ha un effetto volume strepitoso e leggermente brillantinato ( molto fine ed elegante)e qualsiasi colore tu applichi è sublime e ha un effetto super naturale! Buono anche l’odore di menta che ha, ho già acquistato 4 tonalità. Servizio spedizione di douglas rapido e preciso",2024-08-08T17:39:03.000+00:00,0,[]
Jessie18,5,Ottimo prodotto,"Ho comprato questo lipgloss come regalo per una mia amica e l’ha adorato. È buonissimo e freschissimo, rimpolpa e idrata. Ottimo !!",2024-08-08T00:55:08.000+00:00,0,[]
Elviluna,4,Ottimo,"Si stende molto bene ,non appiccicoso. Ottimo prodotto.",2024-08-05T01:27:40.000+00:00,0,[]
Simi22,4,Wow,"Bellissimo, super idratante",2024-08-03T13:17:46.000+00:00,0,[]
PaolaCica,5,Pink Lilac,"È il terzo gloss della gamma che acquisto: confort, un profumo eccezionale e packaging elegante. Adoro questa linea, non dà fastidio sulle labbra e dona un effetto specchiato bellissimo. La colorazione Pink Lilac è delicata e di classe.",2024-08-02T13:26:25.000+00:00,0,[]
S25s90,4,Lucidalabbra,"Buono, consiglio di provare.",2024-07-28T06:58:46.000+00:00,0,[]
Mmm90,5,Bellissimo,Colore ed effetto plum top,2024-07-24T11:12:42.000+00:00,0,[]
Mmm90,5,Perfetto,Effetto plump molto bello.,2024-07-24T11:11:36.000+00:00,0,[]
Luana91,5,Dior una garanzia!,"I prodotti Dior sono una garanzia! Gloss duraturo e rimpolpante, colore perfetto!",2024-07-13T14:43:47.000+00:00,0,[]
B77,5,Garanzia,"Intramontabile e affidabile. Lo compro e lo ricompro. Persiste, ammorbidisce le labbra, non le appiccica, le valorizza e ha un profumo paradisiaco",2024-07-10T14:51:04.000+00:00,1,[]
Mangela,5,Dior Addict gloss,"Splendido effetto rimpolpante, che conferisce volume e lucentezza alle labbra",2024-07-08T12:36:27.000+00:00,0,[]
Tittyran,5,Meraviglioso,Un gloss rimpolpante che resiste ore colore naturale e brillante,2024-07-06T06:14:35.000+00:00,0,[]
Raffanto,5,Fantastico Dior Addict,"Gloss meraviglioso, colore stupendo, lascia le labbra morbide e lucide, piacevole sensazione di menta, packaging elegante.",2024-07-04T11:35:27.000+00:00,0,[]
ester belli,5,Innamorata,"io amo tutti i prodotti Dior.
la colorazione marrone è molto lieve, ma se utilizzato in combo con una matita labbra è bellissimo!",2024-07-02T13:51:35.000+00:00,0,[]
Raffa S.,4,Wow…,"Davvero un buon prodotto volumizzante, pizzica molto leggermente, il colore rosato è delicato.",2024-07-01T20:00:51.000+00:00,0,[]
M&r!,4,Dior addict,Il prodotto dura per almeno mezza giornata e buono e profuma forse lo ricomprerò!,2024-06-28T11:55:15.000+00:00,0,[]
martu26,5,un grande classico,fa sempre il suo lavoro,2024-06-13T11:13:06.000+00:00,0,[]
mimi.,4,Buonissimo,"Si stende bene, non appiccica, non fa l’effetto “colla” e in più lascia sulle labbra una sensazione freschissima che sa quasi di menta. Infatti è perfetto anche per l’estate. io col caldo non sopporto mai i gloss, ma questo è davvero perfetto. L’unica cosa è che mi aspettavo un effetto più olografico (ho preso Opal).
Ma vale assolutamente tutti i soldi che costa💖💖💖",2024-06-06T09:53:07.000+00:00,0,[]
Sabrigioy,5,Super lucido,"Gloss perfetto, facile da applicare. Colore molto glamour",2024-06-04T14:21:23.000+00:00,0,[]
Giuseppe64,5,Favoloso,"Regalato a mia nipote, è rimasta molto contenta. I prezzi sono un po' elevati ma la qualità è pazzesca.",2024-05-23T21:31:15.000+00:00,0,[]
Dusj,5,Gloss meraviglioso,"Un gloss che è molto più di un gloss: luminoso, morbido, per nulla appiccicoso. Il packaging è sinonimo di eleganza",2024-05-20T00:02:42.000+00:00,0,[]
Emanuela91,5,Super,Colore splendido il pink lilac !!! Si stende facilmente sulle labbra rendendole lucide e brillanti. Top,2024-05-12T18:07:09.000+00:00,0,[]
Nico V,5,Super idratante!,"Colore bellissimo!
Molto piacevole sulle labbra",2024-05-12T11:31:34.000+00:00,0,[]
Mari103,5,❤️❤️❤️❤️❤️,Bellissimoooooooooooooooo,2024-05-10T13:25:56.000+00:00,0,[]
Zara I.,5,💜💜💜,Il colore pink lilac è bellissimo 💜,2024-05-08T01:32:27.000+00:00,0,[]
Cavolfiorella628,4,Bel Gloss,Molto bello l’effetto rimpolpante che da,2024-05-01T06:18:15.000+00:00,0,[]
Maidelyn,5,Bellissimo!,Un bel effetto gloss rimpolpante! Textura liggera confortevole e colori bellissimi,2024-04-30T10:26:45.000+00:00,0,[]
Amoitruchcici,5,Fantastico,"""Il gloss di Dior è un vero capolavoro nel mondo del makeup. La sua formula ultra-luminosa dona un effetto volumizzante e idratante alle labbra, senza appiccicare. La gamma di colori è eccezionale, dalle tonalità nude alle più audaci, offrendo infinite possibilità di look. La confezione è elegante e lussuosa, rendendo il gloss di Dior un accessorio indispensabile in ogni beauty routine. Un prodotto di alta qualità che sicuramente non deluderà le aspettative degli amanti del makeup.""",2024-04-27T20:46:58.000+00:00,0,[]
Baby69,5,Super!,"Buonissimo prodotto, super brillante e molto idratante l’ho acquistato in diversi colori assolutamente consigliato",2024-04-26T20:20:04.000+00:00,0,[]
Frank30,5,Colore top,Dura mediamente di più degli altri gloss e dona davvero un bellissimo effetto senza “fili” che sembrano colla,2024-04-22T06:40:16.000+00:00,0,[]
FedyM83,4,Molto carino,"L'effetto di aumento delle labbra si vede, non è esageratamente pizzicante. Rimane un bel effetto gloss. Il colore è un rosa chiaro freddo sulle labbra. Carino ma non wow!",2024-04-21T05:57:39.000+00:00,0,[]
nadia 2005,5,eccezionale,ottimo prodotto! l’ho preso anche in un altra colorazione… il top del top! ve lo consiglio tantissimo<3,2024-04-17T22:54:50.000+00:00,0,[]
Disab,5,I miei preferiti di sempre,"Non ha molto effetto plump come tutti i suoi ""fratelli"" ma io adoro i lip maximizer di Dior. Li uso da anni e non mi hanno mai stancato. Ho acquistato la nuova shade Pink Lilac... MERAVIGLIOSA (rosa/lilla tenue che sul mio incarnato sta benissimo). Adoro il profumo dolce mentolato.",2024-04-15T15:13:51.000+00:00,0,[]
Vitttoooo,5,che dire,"fantastico prodotto fantastico, super consigliato, anche se un po' costoso...",2024-04-15T13:17:18.000+00:00,0,[]
Vs_s1,4,Molto bello e idratante,"Si asciuga dopo un po, consiglio di portarlo sempre dietro quando lo si indossa",2024-04-15T07:35:30.000+00:00,0,[]
Mommi,5,Meraviglioso,Ottimo prodotto io uso il colore neutro buona durata,2024-04-14T16:51:22.000+00:00,0,[]
Annaarto,5,Lucidalabbra,Ottimo acquisto e profumo pazzesco,2024-04-12T05:10:21.000+00:00,0,[]
Mmm90,5,Prodotto top,Uno dei miei prodotti lip preferiti. Insostituibile. Rosino adatto a tutti i giorni,2024-04-10T10:11:40.000+00:00,0,[]
Lupacchiotta,5,Amo amo amo,Questo colore è perfetta sulla mi carnagione molto chiaro..è delicato e elegante...ha un piacevole sensazione sulle labbra e dura abbastanza  tempo senza dover riapplicare.,2024-04-07T11:04:48.000+00:00,0,[]
Daffy,4,stupendo,profumo e rimpolpa le labbra,2024-04-06T00:28:09.000+00:00,0,[]
Soha,5,The best,All prodoct for doir is the best,2024-04-05T21:36:12.000+00:00,0,[]
Francyiii,5,Favorite,Mio gloss favorito della vita,2024-04-04T05:50:28.000+00:00,0,[]
Angily,5,Top,Mi piace tantissimo questo lucidalabbra da un effetto fresco e rimpolpante,2024-03-30T08:22:18.000+00:00,0,[]
Lt,5,Ottimo!,Non è il primo che acquisto! È un prodotto ottimo e confortevole sulle labbra… sempre soddisfatta!,2024-02-18T15:33:56.000+00:00,0,[]
Mariamerc,5,Stupendo,"Lo adoro, dà una sensazione di freschezza",2024-02-17T15:35:54.000+00:00,0,[]
,5,Top,"Wow, prodotto fantastico. Ha un buon rapporto qualità prezzo",2024-02-07T16:22:40.000+00:00,0,[]
Angel7,5,Top,"È il secondo che ricompro, lo amo fa le labbra top.",2024-02-01T23:29:17.000+00:00,0,[]
Ci.enne,5,Regalo,"Regalo apprezzatissimo: bel colore, profumato e leggermente idratante",2024-01-29T07:52:43.000+00:00,0,[]
Giulia Azzoni,4,Carinissimo,"packaging troppo carino, Lip Gloss molto semplice",2024-01-06T02:57:20.000+00:00,0,[]
Vaalentina,3,Aspettative piu alte,"Premetto che mi aspettavo molto di più, sia per il costo sia per come ne avevo sentito parlare.
Non è sicuramente un lip rimpolpante, non brucia o pizzica molto ne ho provati altri di gran lunga migliori, lascia comunque una sensazione di freschezza.",2024-01-04T00:57:42.000+00:00,1,[]
nadia 2005,5,okeeyy,packing meraviglioso ma non posso dire altro visto che non l’ho ancora provato <3.,2024-01-03T12:49:19.000+00:00,0,[]
Alessiaspina01,5,Prodotto ottimo,"Prodotto ottimo ,volumizza le labbra senza bruciori e lascia un ottimo odore",2023-12-30T23:41:52.000+00:00,0,[]
unknown999,5,AMO QUESTO GLOSS,"È un Gloss buonissimo soprattutto questo colore , non è molto forte davvero OTTIMO",2023-12-28T16:55:17.000+00:00,0,[]
AnnaJy,5,Adorabile,Tonalità intense grape. Lo adocchiavo da un po’ e che lo sconto d un buono l’ho acquistato! Mi piace moltissimo la consistenza non appiccicosa e il lucido non esagerato. Il colore me lo aspettavo leggermente più brillante ma mi piace. Ne comprerò un altro,2023-12-25T20:18:51.000+00:00,0,[]
Shopping360,5,Regalo gradito,"Conosco già la linea, lo consiglio. Ha profumo di liquirizia",2023-12-25T16:48:22.000+00:00,0,[]
Mommi,5,Meraviglioso,Gloss meraviglioso lunga durata,2023-12-21T17:18:22.000+00:00,0,[]
Gibbi,5,Il gloss perfetto,"In assoluto il migliore lucidalabbra, perfetto per ogni occasione!",2023-12-21T10:08:04.000+00:00,0,[]
Gibbi,5,Il gloss perfetto,"In assoluto il migliore lucidalabbra, perfetto per ogni occasione",2023-12-21T10:05:31.000+00:00,0,[]
makeuplover14,5,Fantastico,"Vale tutto il suo prezzo! Rimpolpa, dura a lungo e non appiccica. Perfetto in qualsiasi occasione",2023-12-14T08:32:24.000+00:00,0,[]
MS99!,5,Stupendo,"È il lip gloss migliore in circolazione! Oltre ad un effetto naturale è anche duraturo, inoltre rimpolpa le labbra come da descrizione",2023-12-12T19:06:44.000+00:00,0,[]
clloe00,5,Regalo,L'ho comprato come regalo. Avevo già acquistato un'altro colore di questa linea. Sono dei gloss iconic!,2023-12-11T14:49:37.000+00:00,0,[]
clloe00,5,Regalo,L'ho comprato come regalo. Avevo già acquistato un'altro colore di questa linea. Sono dei gloss iconic!,2023-12-11T14:48:54.000+00:00,0,[]
Mary glam,5,Il miglior lip gloss,Ho comprato sul sito questo prodotto e mi sono trovata benissimo sia per il colore che è pazzesco steso sulle labbra e anche per l’effetto maximizer che fa ! È un acquisto molto soddisfacente,2023-11-29T14:33:43.000+00:00,0,[]
rinoparente,5,Niente sorprese,Visto in negozio e comprato online a super sconti e comodo anche il servizio fermopoint in negozio,2023-11-26T09:23:01.000+00:00,0,[]
Shopping360,5,Una sorpresa,"Meglio di come mi aspettassi, il gloss ha una fragranza al mentolo.",2023-11-23T15:01:45.000+00:00,0,[]
Melissa G,5,Consigliatissimo!!,"Lucidalabbra di lunga durata, idrata le labbra e le colora",2023-11-21T16:14:10.000+00:00,1,[]
Francescs,5,Perfetto!,"Lascia le labbra lucide, idratate a lungo, con un profumo discreto e piacevole....non ha difetti, solo pregi !",2023-11-12T19:25:56.000+00:00,0,[]
Rossellina,5,Sublime,"Me lo avevano regalato...ora sono diventata addictid.
Un lucido fantastico e dura a lungo, lasciando le labbra lucenti e morbide.",2023-10-28T11:47:45.000+00:00,0,[]
93Giusy,5,Top,"Stupendo lucida labbra , non appiccica le labbra , rimpolpante … da provare assolutamente altre colorazioni",2023-08-27T16:00:25.000+00:00,0,[]
Simona1972,5,Signora,"Lo adoro è il mio terzo acquisto. Labbra più turgide, lucide. Lo riacquisterei",2023-08-20T14:18:28.000+00:00,0,[]
Cele,5,Lo amo,Dior resta il mio marchio preferito ottimo balm durata nn lunga ma lascia le labbra morbide,2023-07-13T09:59:03.000+00:00,0,[]
Checca,5,balsamo volumizzante,trattamento idratante per labbra setose e voluminose,2023-06-19T10:02:50.000+00:00,0,[]
MartyA,5,Super idratante,"Lo amo follemente, super idratante, lunga durata, non appiccica",2023-06-04T13:37:53.000+00:00,0,[]
Mommi,5,ottimo,"non ho mai trovato un gloss così morbido
ottimo prodotto",2023-05-21T06:41:07.000+00:00,0,[]
Naty77,5,Top,Ottimo prodotto lascia le labbra morbide e nutrite,2023-05-05T13:12:53.000+00:00,0,[]
eismua,5,Top,"Bello e leggero sulle labbra, chiaramente essendo un gloss va via ma lascia una bella sensazione di morbidezza. Peccato che dior non sia cruelty free però :(",2023-05-03T21:15:34.000+00:00,0,[]
GiuliaMe,5,Gloss n. 1,Gloss super brillante super idratante super rimpolpante! Packaging top!,2023-04-04T10:25:24.000+00:00,0,[]
clamac,5,Fantastico,"Regalo per un’amica, il colore è perfetto, naturale, non secca per nulla le labbra e lascia un effetto più rimpolpato anche quando svanisce, meraviglioso",2023-03-26T11:44:49.000+00:00,0,[]
Orybo,5,Meraviglioso,"Lo utilizzo da anni ormai ed è sempre una certezza, ho provato diverse colorazioni e ogni volta è una piacevole sorpresa.",2023-03-23T10:12:35.000+00:00,1,[]
Angy96al,5,Meraviglioso Gloss!,"Stupendo, labbra idratate, rimpolpate, luminose, effetto super!",2023-03-19T11:54:49.000+00:00,0,[]
Alexisss90,5,Luce per le labbra,Cercavo un prodotto che donasse luminosità alle mie labbra e che fosse abbastanza idratante e leggero. Questo è il giusto lucidalabbra che idrata ma allo stesso tempo rende le labbra più carnose. Un prodotto a metà tra skincare e cosmetico. Bellissimo!!,2023-03-14T20:08:05.000+00:00,0,[]
Maila,5,Adoro,Il mio lip preferito in assoluto. Idrata lucida e rimpolpa veramente un sacco. Poi è bellissimo da vedere e tenere in borsa!!!!,2023-03-01T08:05:10.000+00:00,0,[]
ChiarettaF,5,Ottimo lip gloss,"Ho acquistato tale prodotto nella tonalità 29: un color melograno brillante. Davvero bello! Ha un leggero effetto volumizzante, idratante e appena applicato crea un lieve pizzicore, che va via subito. Io lo utilizzo dopo il balsamo labbra Dior Addict.",2023-02-14T10:34:03.000+00:00,0,[]
Disab,5,i migliori,"ne ho di diverse tonalità (002, 006 e 007). non hanno un effetto volumizzante eccessivo. lasciano un leggero pizzicore che termina in fretta. coccolano le labbra rendendole estremamente morbide ed idratate. Li acquisto perchè sono eccellenti",2023-02-13T16:25:25.000+00:00,1,[]
